Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
BestMatch,9.41215,Exact,0,Acer opalus,Acer opalus Mill.,Acer opalus,94FR,Acer opalus Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer opalus,
BestMatch,9.41215,Exact,0,Acer palmatum,Acer palmatum Thunb.,Acer palmatum,94G9,Acer palmatum Thunb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer palmatum,
BestMatch,9.41215,Exact,0,Acer pictum,Acer pictum Thunb.,Acer pictum,94GW,Acer pictum Thunb.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer pictum,
BestMatch,9.41215,Exact,0,Acer platanoides,Acer platanoides L.,Acer platanoides,94H3,Acer platanoides L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer platanoides,
BestMatch,9.41215,Exact,0,Acer pseudoplatanus,Acer pseudoplatanus L.,Acer pseudoplatanus,94HF,Acer pseudoplatanus L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer pseudoplatanus,
BestMatch,9.41215,Exact,0,Acer pseudosieboldianum,Acer pseudosieboldianum (Pax) Kom.,Acer pseudosieboldianum,94HG,Acer pseudosieboldianum (Pax) Kom.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer pseudosieboldianum,
BestMatch,9.41215,Exact,0,Acer rufinerve,Acer rufinerve Siebold & Zucc.,Acer rufinerve,64FKS,Acer rufinerve Siebold & Zucc.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer rufinerve,
BestMatch,9.41215,Exact,0,Acer saccharinum,Acer saccharinum L.,Acer saccharinum,94JH,Acer saccharinum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer saccharinum,
BestMatch,9.41215,Exact,0,Acer saccharum,Acer saccharum Marshall,Acer saccharum,94JK,Acer saccharum Marshall,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer saccharum,
BestMatch,9.41215,Exact,0,Acer sempervirens,Acer sempervirens L.,Acer sempervirens,94JT,Acer sempervirens L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer sempervirens,
BestMatch,9.41215,Exact,0,Acer tataricum,Acer tataricum L.,Acer tataricum,94L9,Acer tataricum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer tataricum,
BestMatch,9.41215,Exact,0,Acer triflorum,Acer triflorum Kom.,Acer triflorum,94M5,Acer triflorum Kom.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Hippocastanoideae|Acereae|Acer|Acer triflorum,
BestMatch,9.41215,Exact,0,Achillea ageratifolia,Achillea ageratifolia (Sm.) Benth. & Hook.fil.,Achillea ageratifolia,B3L5Z,Achillea ageratifolia (Sm.) Benth. & Hook.fil.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea ageratifolia,
BestMatch,9.41215,Exact,0,Achillea ageratum,Achillea ageratum L.,Achillea ageratum,64GRK,Achillea ageratum L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea ageratum,
BestMatch,9.41215,Exact,0,Achillea atrata,Achillea atrata L.,Achillea atrata,97B4,Achillea atrata L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea atrata,
BestMatch,9.41215,Exact,0,Achillea clavennae,Achillea clavennae L.,Achillea clavennae,97CG,Achillea clavennae L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Anthemideae|Matricariinae|Achillea|Achillea clavennae,
