scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path
Cuscuta,higher_taxon,genus,path_depth,4,10,10,Cuscuta campestris,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Convolvulaceae|Cuscutoideae|Cuscuta|Cuscuta campestris
Cyanantheae,higher_taxon,tribe,suffix,4,10,10,Canarina canariensis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Campanulaceae|Campanuloideae|Cyanantheae|Canarina|Canarina canariensis
Cyclanthera,higher_taxon,genus,path_depth,2,10,10,Cyclanthera brachystachya,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cucurbitales|Cucurbitaceae|Sicyoeae|Cyclanthera|Cyclanthera brachystachya
Cylindropuntieae,higher_taxon,tribe,suffix,1,10,10,Cylindropuntia imbricata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Opuntioideae|Cylindropuntieae|Cylindropuntia|Cylindropuntia imbricata
Cymbalaria,higher_taxon,genus,path_depth,2,10,10,Cymbalaria hepaticifolia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Antirrhinoideae|Cymbalaria|Cymbalaria hepaticifolia
Cynoglosseae,higher_taxon,tribe,suffix,4,10,10,Amsinckia calycina,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Cynoglossoideae|Cynoglosseae|Amsinckiinae|Amsinckia|Amsinckia calycina
Cyperus caducus,higher_taxon,genus,path_depth,1,10,10,Cyperus friburgensis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Cyperaceae|Cyperus|Cyperus caducus
Cyperus vaginatus,higher_taxon,genus,path_depth,1,10,10,Cyperus textilis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Cyperaceae|Cyperus|Cyperus vaginatus
Cyrtomium,higher_taxon,genus,path_depth,3,10,10,Cyrtomium falcatum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Polypodiopsida|Polypodiales|Dryopteridaceae|Dryopteridoideae|Cyrtomium|Cyrtomium falcatum
Dacrydium,higher_taxon,genus,path_depth,1,10,10,Dacrydium cupressinum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Pinopsida|Cupressidae|Araucariales|Podocarpaceae|Dacrydium|Dacrydium cupressinum
Daphne,higher_taxon,genus,path_depth,11,10,10,Daphne acutiloba,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malvales|Thymelaeaceae|Thymelaeoideae|Daphne|Daphne acutiloba
Darmera,higher_taxon,genus,path_depth,1,10,10,Darmera peltata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Saxifragales|Saxifragaceae|Darmereae|Darmera|Darmera peltata
Datureae,higher_taxon,tribe,suffix,6,10,10,Brugmansia arborea,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanoideae|Datureae|Brugmansia|Brugmansia arborea
Daucinae,higher_taxon,subfamily,suffix,10,10,11,Caucalis platycarpos,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Apioideae|Scandiceae|Daucinae|Caucalis|Caucalis platycarpos
Davidia,higher_taxon,genus,path_depth,1,10,10,Davidia involucrata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Cornales|Nyssaceae|Davidioideae|Davidia|Davidia involucrata
Decaisnea,higher_taxon,genus,path_depth,1,10,10,Decaisnea insignis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Lardizabalaceae|Lardizabaloideae|Decaisnea|Decaisnea insignis
Descurainieae,higher_taxon,tribe,suffix,5,10,10,Descurainia sophia,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Capparales|Brassicaceae|Brassicoideae|Descurainieae|Descurainia|Descurainia sophia
Dicentreae,higher_taxon,tribe,suffix,2,10,10,Dicentra canadensis,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ranunculales|Papaveraceae|Fumarioideae|Dicentreae|Dicentra|Dicentra canadensis
