scientific_name,taxon_level,taxon_rank,taxon_rank_source,source_species_count,path_depth_min,path_depth_max,example_species,example_classification_path,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
Ferraria,higher_taxon,genus,path_depth,1,9,9,Ferraria crispa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Ferraria|Ferraria crispa,BestMatch,9.41215,Exact,0,Ferraria,Ferraria Burm. ex Mill.,Ferraria,8VXNX,Ferraria Burm. ex Mill.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Ferraria,
Festuca,higher_taxon,genus,path_depth,33,9,9,Festuca acuminata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca|Festuca acuminata,BestMatch,9.41215,Exact,0,Festuca,Festuca Tourn. ex L.,Festuca,8VXP2,Festuca Tourn. ex L.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Poaceae|Festuca,
Ficeae,higher_taxon,tribe,suffix,12,9,9,Ficus aspera,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficeae|Ficus|Ficus aspera,BestMatch,9.41215,Exact,0,Ficeae,Ficeae Dumort.,Ficeae,KV9V7,Ficeae Dumort.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Rosales|Moraceae|Ficeae,
Flacourtieae,higher_taxon,tribe,suffix,1,9,9,Sideroxylon spinosum,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Flacourtieae|Flacourtia|Flacourtia indica,BestMatch,9.41215,Exact,0,Flacourtieae,Flacourtieae DC.,Flacourtieae,KVB9S,Flacourtieae DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Flacourtieae,
Flaviporus citrinellus,higher_taxon,genus,path_depth,1,9,9,Antrodiella citrinella,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Steccherinaceae|Flaviporus|Flaviporus citrinellus,BestMatch,9.41215,Exact,0,Flaviporus citrinellus,Flaviporus citrinellus (Niemelä & Ryvarden) Ginns,Flaviporus citrinellus,6J7MJ,Flaviporus citrinellus (Niemelä & Ryvarden) Ginns,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Steccherinaceae|Flaviporus|Flaviporus citrinellus,
Fomitopsis officinalis,higher_taxon,genus,path_depth,1,9,9,Laricifomes officinalis,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Fomitopsidaceae|Fomitopsis|Fomitopsis officinalis,BestMatch,9.41215,Exact,0,Fomitopsis officinalis,Fomitopsis officinalis (Vill.) Bondartsev & Singer,Fomitopsis officinalis,6JCD7,Fomitopsis officinalis (Vill.) Bondartsev & Singer,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Agaricomycetes|Polyporales|Fomitopsidaceae|Fomitopsis|Fomitopsis officinalis,
Fontanesieae,higher_taxon,tribe,suffix,1,9,9,Fontanesia philliraeoides,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Fontanesieae|Fontanesia|Fontanesia philliraeoides,BestMatch,9.41215,Exact,0,Fontanesieae,Fontanesieae H.Taylor ex L.A.S.Johnson,Fontanesieae,V5G73,Fontanesieae H.Taylor ex L.A.S.Johnson,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Fontanesieae,
Forsythieae,higher_taxon,tribe,suffix,4,9,9,Forsythia europaea,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Forsythieae|Forsythia|Forsythia europaea,BestMatch,9.41215,Exact,0,Forsythieae,Forsythieae H.Taylor ex L.A.S.Johnson,Forsythieae,V5JQN,Forsythieae H.Taylor ex L.A.S.Johnson,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Oleaceae|Forsythieae,
Francooideae,higher_taxon,subfamily,suffix,2,9,9,Francoa appendiculata,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Francoaceae|Francooideae|Francoa|Francoa appendiculata,BestMatch,9.41215,Exact,0,Francooideae,Francooideae J.Williams,Francooideae,BW6B4,Francooideae J.Williams,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Geraniales|Francoaceae|Francooideae,
Freesia,higher_taxon,genus,path_depth,1,9,9,Freesia laxa,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Freesia|Freesia laxa,BestMatch,9.41215,Exact,0,Freesia,Freesia Eckl. ex Klatt,Freesia,8VXQB,Freesia Eckl. ex Klatt,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Iridaceae|Freesia,
Fritillaria,higher_taxon,genus,path_depth,7,9,9,Fritillaria acmopetala,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Liliales|Liliaceae|Fritillaria|Fritillaria acmopetala,BestMatch,9.41215,Exact,0,Fritillaria,"Fritillaria Fol, 1872",Fritillaria,7NF2D,"Fritillaria Fol, 1872",false,1,Catalogue of Life,Eukaryota|Animalia|Chordata|Tunicata|Appendicularia|Copelata|Fritillariidae|Fritillariinae|Fritillaria,
Frommeella tormentillae,higher_taxon,genus,path_depth,1,9,9,Phragmidium tormentillae,Eukaryota|Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Phragmidiaceae|Frommeella|Frommeella tormentillae,BestMatch,9.41215,Exact,0,Frommeella tormentillae,Frommeella tormentillae (Fuckel) Cummins & Y. Hirats.,Frommeella tormentillae,6JPC2,Frommeella tormentillae (Fuckel) Cummins & Y. Hirats.,false,1,Catalogue of Life,Eukaryota|Fungi|Basidiomycota|Pucciniomycetes|Pucciniales|Phragmidiaceae|Frommeella|Frommeella tormentillae,
