taxon_id,scientific_name,rank,common_name,iconic_taxon_name,observations_in_region,inat_observations_global,wikipedia_url,photo_url,photo_license_code,photo_attribution,query_taxon_id,query_taxon_name
1370910,Mycena agrestis,species,,Fungi,1,5,,https://static.inaturalist.org/photos/166813418/medium.jpg,,"(c) Lars Petersen, all rights reserved, uploaded by Lars Petersen",47169,Basidiomycota
865927,Mycena algeriensis,species,,Fungi,1,26,,https://inaturalist-open-data.s3.amazonaws.com/photos/48221512/medium.jpg,cc0,"no rights reserved, uploaded by Garrett Taylor",47169,Basidiomycota
1000590,Mycena belliarum,species,reed bonnet,Fungi,1,27,,https://inaturalist-open-data.s3.amazonaws.com/photos/101179855/medium.jpeg,cc0,"no rights reserved, uploaded by Matthew Wilkinson",47169,Basidiomycota
63441,Mycena clavicularis,species,needle bonnet,Fungi,1,397,,https://inaturalist-open-data.s3.amazonaws.com/photos/21630285/medium.jpeg,cc-by-nc,"(c) Christian Schwarz, some rights reserved (CC BY-NC), uploaded by Christian Schwarz",47169,Basidiomycota
1000594,Mycena fagetorum,species,,Fungi,1,27,,https://inaturalist-open-data.s3.amazonaws.com/photos/108020260/medium.jpg,cc-by-nc,"(c) Renée Lebeuf, niektoré práva vyhradené (CC BY-NC), uploaded by Renée Lebeuf",47169,Basidiomycota
868607,Mycena latifolia,species,sideshoot bonnet,Fungi,1,23,,https://inaturalist-open-data.s3.amazonaws.com/photos/48324468/medium.jpg,cc0,"no rights reserved, uploaded by Garrett Taylor",47169,Basidiomycota
805278,Mycena megaspora,species,rooting bonnet,Fungi,1,166,,https://inaturalist-open-data.s3.amazonaws.com/photos/107578844/medium.jpeg,cc-by-nc,"(c) Vladimir Bryukhov, some rights reserved (CC BY-NC), uploaded by Vladimir Bryukhov",47169,Basidiomycota
63456,Mycena metata,species,,Fungi,1,632,http://en.wikipedia.org/wiki/Mycena_metata,https://inaturalist-open-data.s3.amazonaws.com/photos/236585064/medium.jpg,cc-by-nc,"(c) Иван Матершев, some rights reserved (CC BY-NC), uploaded by Иван Матершев",47169,Basidiomycota
574073,Mycena niveipes,species,,Fungi,1,786,,https://inaturalist-open-data.s3.amazonaws.com/photos/222551777/medium.jpeg,cc-by-nc,"(c) John Plischke, some rights reserved (CC BY-NC), uploaded by John Plischke",47169,Basidiomycota
519021,Mycena stylobates,species,bulbous bonnet,Fungi,1,262,http://en.wikipedia.org/wiki/Mycena_stylobates,https://inaturalist-open-data.s3.amazonaws.com/photos/252514583/medium.jpg,cc-by-nc,"(c) balawu, some rights reserved (CC BY-NC), uploaded by balawu",47169,Basidiomycota
1428084,Mycena tenerrima,species,frosty bonnet,Fungi,1,4320,https://en.wikipedia.org/wiki/Mycena_adscendens,https://inaturalist-open-data.s3.amazonaws.com/photos/346490716/medium.jpg,cc-by,"(c) Alan Rockefeller, some rights reserved (CC BY), uploaded by Alan Rockefeller",47169,Basidiomycota
516744,Mycenella bryophila,species,,Fungi,1,14,,https://inaturalist-open-data.s3.amazonaws.com/photos/171091879/medium.jpeg,cc-by,"(c) Mehdi Chetibi, some rights reserved (CC BY), uploaded by Mehdi Chetibi",47169,Basidiomycota
203669,Mycetinis scorodonius,species,vampire's bane,Fungi,1,2395,https://en.wikipedia.org/wiki/Mycetinis_scorodonius,https://static.inaturalist.org/photos/319138173/medium.jpeg,,"(c) Antonio Ezquerro Antoñana, all rights reserved, uploaded by Antonio Ezquerro Antoñana",47169,Basidiomycota
1109244,Naematelia encephala,species,Conifer Brain,Fungi,1,1301,https://en.wikipedia.org/wiki/Naematelia_encephala,https://inaturalist-open-data.s3.amazonaws.com/photos/5636192/medium.jpeg,cc-by-sa,"(c) Ireen Trummer, some rights reserved (CC BY-SA)",47169,Basidiomycota
875112,Neoboletus pseudosulphureus,species,yellow bolete,Fungi,1,53,https://en.wikipedia.org/wiki/Neoboletus_pseudosulphureus,https://static.inaturalist.org/photos/285117443/medium.jpeg,,"(c) Susanne Sourell, all rights reserved, uploaded by Susanne Sourell",47169,Basidiomycota
796595,Neoboletus xanthopus,species,false yellow bolete,Fungi,1,330,,https://inaturalist-open-data.s3.amazonaws.com/photos/29253406/medium.jpg,cc-by,"(c) Davide Puddu, some rights reserved (CC BY), uploaded by Davide Puddu",47169,Basidiomycota
500416,Neohygrocybe ingrata,species,Dingy Waxcap,Fungi,1,59,https://en.wikipedia.org/wiki/Neohygrocybe_ingrata,https://inaturalist-open-data.s3.amazonaws.com/photos/249264559/medium.jpg,cc-by-nc,"(c) Filip Fuljer, some rights reserved (CC BY-NC), uploaded by Filip Fuljer",47169,Basidiomycota
1135296,Neohygrocybe nitrata,species,Nitrous Waxcap,Fungi,1,118,https://en.wikipedia.org/wiki/Neohygrocybe_nitrata,https://inaturalist-open-data.s3.amazonaws.com/photos/176242428/medium.jpg,cc-by-nc,"(c) Nicolò Oppicelli, some rights reserved (CC BY-NC), uploaded by Nicolò Oppicelli",47169,Basidiomycota
1135293,Neohygrocybe ovina,species,Blushing Waxcap,Fungi,1,72,https://en.wikipedia.org/wiki/Neohygrocybe_ovina,https://inaturalist-open-data.s3.amazonaws.com/photos/13562133/medium.jpg,cc-by-nc,"(c) tombigelow, some rights reserved (CC BY-NC), uploaded by tombigelow",47169,Basidiomycota
1259650,Nyssopsora echinata,species,,Fungi,1,4,,https://inaturalist-open-data.s3.amazonaws.com/photos/139337401/medium.jpeg,cc-by-sa,"(c) Björn Sothmann, niektoré práva vyhradené (CC BY-SA), uploaded by Björn Sothmann",47169,Basidiomycota
1597538,Obvidator quercinae,species,,Fungi,1,15,,https://inaturalist-open-data.s3.amazonaws.com/photos/459299374/medium.jpeg,cc-by-sa,"(c) Björn Sothmann, some rights reserved (CC BY-SA), uploaded by Björn Sothmann",47169,Basidiomycota
516040,Ossicaulis lignatilis,species,Bonestem,Fungi,1,1233,,https://inaturalist-open-data.s3.amazonaws.com/photos/190140255/medium.jpg,cc-by-nc,"(c) huafang, some rights reserved (CC BY-NC), uploaded by huafang",47169,Basidiomycota
1497647,Owingsia umbellifera,species,,Fungi,1,44,,https://inaturalist-open-data.s3.amazonaws.com/photos/160039919/medium.jpeg,cc-by-nc,"(c) Denis Ivanov, some rights reserved (CC BY-NC), uploaded by Denis Ivanov",47169,Basidiomycota
912139,Panaeolus ater,species,,Fungi,1,18,https://en.wikipedia.org/wiki/Panaeolus_fimicola,https://inaturalist-open-data.s3.amazonaws.com/photos/54562224/medium.jpg,cc-by-nc-sa,"(c) Georgios Mesimeris, niektoré práva vyhradené (CC BY-NC-SA), uploaded by Georgios Mesimeris",47169,Basidiomycota
351673,Panaeolus fimicola,species,Turf Mottlegill,Fungi,1,212,http://en.wikipedia.org/wiki/Panaeolus_fimicola,https://inaturalist-open-data.s3.amazonaws.com/photos/242075954/medium.jpeg,cc-by-nc,"(c) Ed Barge, some rights reserved (CC BY-NC), uploaded by Ed Barge",47169,Basidiomycota
536019,Panus lecomtei,species,Hairy Oyster Mushroom,Fungi,1,8089,,https://inaturalist-open-data.s3.amazonaws.com/photos/60452280/medium.jpeg,cc-by-nc,"(c) dogbowlbookpile, some rights reserved (CC BY-NC), uploaded by dogbowlbookpile",47169,Basidiomycota
1367221,Parasola crataegi,species,,Fungi,1,4,,https://inaturalist-open-data.s3.amazonaws.com/photos/182831566/medium.jpeg,cc-by-nc,"(c) Nicolas Schwab, niektoré práva vyhradené (CC BY-NC), uploaded by Nicolas Schwab",47169,Basidiomycota
337565,Parasola lactea,species,Milky Inkcap,Fungi,1,1555,,https://inaturalist-open-data.s3.amazonaws.com/photos/65463025/medium.jpg,cc-by,"(c) Jerry Cooper, some rights reserved (CC BY), uploaded by Jerry Cooper",47169,Basidiomycota
481221,Parasola misera,species,least inkcap,Fungi,1,64,https://en.wikipedia.org/wiki/Parasola_misera,https://static.inaturalist.org/photos/337821264/medium.jpeg,,"(c) Darren Gordon, all rights reserved, uploaded by Darren Gordon",47169,Basidiomycota
411027,Paxillus ammoniavirescens,species,,Fungi,1,100,,https://inaturalist-open-data.s3.amazonaws.com/photos/245874928/medium.jpeg,cc-by,"(c) Davide Puddu, some rights reserved (CC BY), uploaded by Davide Puddu",47169,Basidiomycota
1398128,Paxillus olivellus,species,,Fungi,1,41,,https://inaturalist-open-data.s3.amazonaws.com/photos/269266835/medium.jpeg,cc-by-nc,"(c) Stu Pickell, some rights reserved (CC BY-NC), uploaded by Stu Pickell",47169,Basidiomycota
